dataset,method,K,objective_ratio_mean,objective_ratio_se,success_rate,n
grow7,Anchor,10,0.0,0.0,1.0,12
grow7,FCNN,10,0.0,0.0,1.0,12
grow7,Full,10,1.0,0.0,1.0,12
grow7,PCA,10,0.991841860308544,0.000330405969002,1.0,12
grow7,PELP_NN,10,0.0,0.0,1.0,12
grow7,Rand,10,0.0,0.0,1.0,36
grow7,SharedP,10,0.0,0.0,1.0,12
israel,Anchor,10,-0.2870457004457823,0.007109672861762,1.0,12
israel,FCNN,10,-0.2870404467138395,0.0071097352384297,1.0,12
israel,Full,10,1.0,0.0,1.0,12
israel,PCA,10,0.9743353131676232,0.0022998146831567,1.0,12
israel,PELP_NN,10,-0.2870457004457823,0.007109672861762,1.0,12
israel,Rand,10,-0.1507430672277002,0.0097297192994058,1.0,36
israel,SharedP,10,-0.2870457004457823,0.007109672861762,1.0,12
sc205,Anchor,10,0.0,0.0,1.0,12
sc205,FCNN,10,0.0,0.0,1.0,12
sc205,Full,10,1.0,0.0,1.0,12
sc205,PCA,10,1.0000000000000009,1.6204612282607722e-15,1.0,12
sc205,PELP_NN,10,0.0,0.0,1.0,12
sc205,Rand,10,0.0,0.0,1.0,36
sc205,SharedP,10,0.0,0.0,1.0,12
scagr25,Anchor,10,0.3862015640926195,0.0015007720380237,1.0,12
scagr25,FCNN,10,0.3862015640926195,0.0015007720380237,1.0,12
scagr25,Full,10,1.0,0.0,1.0,12
scagr25,PCA,10,0.9911097089743296,0.0003489069075914,1.0,12
scagr25,PELP_NN,10,0.3862015640926195,0.0015007720380237,1.0,12
scagr25,Rand,10,0.3862015640926195,0.0008413506795836,1.0,36
scagr25,SharedP,10,0.3862015640926195,0.0015007720380237,1.0,12
stair,Anchor,10,0.9577133915870492,1.7107229786481166e-15,1.0,12
stair,FCNN,10,0.9577133915870492,1.7107229786481166e-15,1.0,12
stair,Full,10,1.0,0.0,1.0,12
stair,PCA,10,0.9999999999999988,1.779560560450997e-15,1.0,12
stair,PELP_NN,10,0.9577133915870492,1.760569034374827e-15,1.0,12
stair,Rand,10,0.9577133915870492,9.588986626043064e-16,1.0,36
stair,SharedP,10,0.9577133915870492,1.7107229786481166e-15,1.0,12
