method,K,anchor_quality_mean,anchor_quality_se,success_rate,n,case,title,family
CostOnly,5,2.886117482754186e-07,4.190593712707273e-12,1.0,12,grow7,GROW7,netlib
Full,5,1.0,0.0,1.0,12,grow7,GROW7,netlib
PCA,5,0.0,0.0,1.0,12,grow7,GROW7,netlib
Rand,5,0.0,0.0,1.0,36,grow7,GROW7,netlib
SGA,5,0.025287588385973784,2.6674057053949733e-07,1.0,12,grow7,GROW7,netlib
CostOnly,10,2.8924948681679897e-07,4.438364846914693e-12,1.0,12,grow7,GROW7,netlib
Full,10,1.0,0.0,1.0,12,grow7,GROW7,netlib
PCA,10,0.0,0.0,1.0,12,grow7,GROW7,netlib
Rand,10,0.0,0.0,1.0,36,grow7,GROW7,netlib
SGA,10,0.025365849652572967,2.676474889287566e-07,1.0,12,grow7,GROW7,netlib
CostOnly,20,2.922945674765422e-07,5.525681718062834e-12,1.0,12,grow7,GROW7,netlib
Full,20,1.0,0.0,1.0,12,grow7,GROW7,netlib
PCA,20,0.0,0.0,1.0,12,grow7,GROW7,netlib
Rand,20,0.0,0.0,1.0,36,grow7,GROW7,netlib
SGA,20,0.02753667448241887,3.071092406308308e-07,1.0,12,grow7,GROW7,netlib
CostOnly,30,2.9230333569906393e-07,4.605880850440011e-12,1.0,12,grow7,GROW7,netlib
Full,30,1.0,0.0,1.0,12,grow7,GROW7,netlib
PCA,30,0.0,0.0,1.0,12,grow7,GROW7,netlib
Rand,30,0.0,0.0,1.0,36,grow7,GROW7,netlib
SGA,30,0.04331858592914097,6.816279522295789e-07,1.0,12,grow7,GROW7,netlib
CostOnly,40,0.013945753233074981,5.537581627657526e-07,1.0,12,grow7,GROW7,netlib
Full,40,1.0,0.0,1.0,12,grow7,GROW7,netlib
PCA,40,0.0,0.0,1.0,12,grow7,GROW7,netlib
Rand,40,0.0,0.0,1.0,36,grow7,GROW7,netlib
SGA,40,0.04331858592914097,6.816279522295789e-07,1.0,12,grow7,GROW7,netlib
CostOnly,50,0.5930852064984236,5.741722513271867e-06,1.0,12,grow7,GROW7,netlib
Full,50,1.0,0.0,1.0,12,grow7,GROW7,netlib
PCA,50,0.0,0.0,1.0,12,grow7,GROW7,netlib
Rand,50,0.0,0.0,1.0,36,grow7,GROW7,netlib
SGA,50,0.04331858592914097,6.816279522295789e-07,1.0,12,grow7,GROW7,netlib
